X,Raiz Quadrada
1.0,1.0
1.5,1.224744871391589
2.0,1.4142135623730951
2.5,1.5811388300841898
3.0,1.7320508075688772
3.5,1.8708286933869707
4.0,2.0
4.5,2.1213203435596424
5.0,2.23606797749979
5.5,2.345207879911715
6.0,2.449489742783178
6.5,2.5495097567963922
7.0,2.6457513110645907
7.5,2.7386127875258306
8.0,2.8284271247461903
8.5,2.9154759474226504
9.0,3.0
9.5,3.082207001484488
10.0,3.1622776601683795
10.5,3.24037034920393
11.0,3.3166247903554
11.5,3.391164991562634
12.0,3.4641016151377544
12.5,3.5355339059327378
13.0,3.605551275463989
13.5,3.6742346141747673
14.0,3.7416573867739413
14.5,3.8078865529319543
15.0,3.872983346207417
15.5,3.9370039370059056
16.0,4.0
16.5,4.06201920231798
17.0,4.123105625617661
17.5,4.183300132670378
18.0,4.242640687119285
18.5,4.301162633521313
19.0,4.358898943540674
19.5,4.415880433163924
20.0,4.47213595499958
20.5,4.527692569068709
21.0,4.58257569495584
21.5,4.636809247747852
22.0,4.69041575982343
22.5,4.743416490252569
23.0,4.795831523312719
23.5,4.847679857416329
24.0,4.898979485566356
24.5,4.949747468305833
25.0,5.0
25.5,5.049752469181039
26.0,5.0990195135927845
26.5,5.1478150704935
27.0,5.196152422706632
27.5,5.244044240850758
28.0,5.291502622129181
28.5,5.338539126015656
29.0,5.385164807134504
29.5,5.431390245600108
30.0,5.477225575051661
30.5,5.522680508593631
31.0,5.5677643628300215
31.5,5.612486080160912
32.0,5.656854249492381
32.5,5.70087712549569
33.0,5.744562646538029
33.5,5.787918451395113
34.0,5.830951894845301
34.5,5.873670062235365
35.0,5.916079783099616
35.5,5.958187643906492
36.0,6.0
36.5,6.041522986797286
37.0,6.082762530298219
37.5,6.123724356957945
38.0,6.164414002968976
38.5,6.2048368229954285
39.0,6.244997998398398
39.5,6.284902544988268
40.0,6.324555320336759
40.5,6.363961030678928
41.0,6.4031242374328485
41.5,6.442049363362563
42.0,6.48074069840786
42.5,6.519202405202649
43.0,6.557438524302
43.5,6.59545297913646
44.0,6.6332495807108
44.5,6.670832032063167
45.0,6.708203932499369
45.5,6.745368781616021
46.0,6.782329983125268
46.5,6.819090848492928
47.0,6.855654600401044
47.5,6.892024376045111
48.0,6.928203230275509
48.5,6.96419413859206
49.0,7.0
49.5,7.035623639735144
50.0,7.0710678118654755
50.5,7.106335201775948
51.0,7.14142842854285
51.5,7.176350047203662
52.0,7.211102550927978
52.5,7.245688373094719
53.0,7.280109889280518
53.5,7.314369419163897
54.0,7.3484692283495345
54.5,7.3824115301167
55.0,7.416198487095663
55.5,7.44983221287567
56.0,7.483314773547883
56.5,7.516648189186454
57.0,7.54983443527075
57.5,7.582875444051551
58.0,7.615773105863909
58.5,7.648529270389178
59.0,7.681145747868608
59.5,7.713624310270756
60.0,7.745966692414834
60.5,7.7781745930520225
61.0,7.810249675906654
61.5,7.842193570679061
62.0,7.874007874011811
62.5,7.905694150420948
63.0,7.937253933193772
63.5,7.968688725254614
64.0,8.0
64.5,8.031189202104505
65.0,8.06225774829855
65.5,8.093207028119323
66.0,8.12403840463596
66.5,8.154753215150045
67.0,8.18535277187245
67.5,8.215838362577491
68.0,8.246211251235321
68.5,8.276472678623424
69.0,8.306623862918075
69.5,8.336666000266533
70.0,8.366600265340756
70.5,8.396427811873332
71.0,8.426149773176359
71.5,8.455767262643882
72.0,8.48528137423857
72.5,8.514693182963201
73.0,8.54400374531753
73.5,8.573214099741124
74.0,8.602325267042627
74.5,8.631338250816034
75.0,8.660254037844387
75.5,8.689073598491383
76.0,8.717797887081348
76.5,8.74642784226795
77.0,8.774964387392123
77.5,8.803408430829505
78.0,8.831760866327848
78.5,8.860022573334675
79.0,8.888194417315589
79.5,8.916277250063503
80.0,8.94427190999916
80.5,8.972179222463181
81.0,9.0
81.5,9.027735042633894
82.0,9.055385138137417
82.5,9.082951062292475
83.0,9.1104335791443
