X,Log base 10
1.0,0.0
1.5,0.17609125905568124
2.0,0.3010299956639812
2.5,0.3979400086720376
3.0,0.47712125471966244
3.5,0.5440680443502757
4.0,0.6020599913279624
4.5,0.6532125137753437
5.0,0.6989700043360189
5.5,0.7403626894942439
6.0,0.7781512503836436
6.5,0.8129133566428556
7.0,0.8450980400142568
7.5,0.8750612633917001
8.0,0.9030899869919435
8.5,0.9294189257142927
9.0,0.9542425094393249
9.5,0.9777236052888477
10.0,1.0
10.5,1.021189299069938
11.0,1.041392685158225
11.5,1.0606978403536118
12.0,1.0791812460476249
12.5,1.0969100130080565
13.0,1.1139433523068367
13.5,1.130333768495006
14.0,1.146128035678238
14.5,1.1613680022349748
15.0,1.1760912590556813
15.5,1.1903316981702914
16.0,1.2041199826559248
16.5,1.2174839442139063
17.0,1.2304489213782739
17.5,1.2430380486862944
18.0,1.255272505103306
18.5,1.2671717284030137
19.0,1.2787536009528289
19.5,1.290034611362518
20.0,1.3010299956639813
20.5,1.3117538610557542
21.0,1.3222192947339193
21.5,1.3324384599156054
22.0,1.3424226808222062
22.5,1.3521825181113625
23.0,1.3617278360175928
23.5,1.3710678622717363
24.0,1.380211241711606
24.5,1.3891660843645326
25.0,1.3979400086720377
25.5,1.4065401804339552
26.0,1.414973347970818
26.5,1.423245873936808
27.0,1.4313637641589874
27.5,1.4393326938302626
28.0,1.4471580313422192
28.5,1.4548448600085102
29.0,1.462397997898956
29.5,1.469822015978163
30.0,1.4771212547196624
30.5,1.4842998393467859
31.0,1.4913616938342726
31.5,1.4983105537896004
32.0,1.505149978319906
32.5,1.5118833609788744
33.0,1.5185139398778875
33.5,1.5250448070368452
34.0,1.5314789170422551
34.5,1.5378190950732742
35.0,1.5440680443502757
35.5,1.550228353055094
36.0,1.5563025007672873
36.5,1.5622928644564746
37.0,1.568201724066995
37.5,1.5740312677277188
38.0,1.5797835966168101
38.5,1.5854607295085006
39.0,1.591064607026499
39.5,1.5965970956264601
40.0,1.6020599913279625
40.5,1.6074550232146685
41.0,1.6127838567197355
41.5,1.6180480967120927
42.0,1.6232492903979006
42.5,1.6283889300503116
43.0,1.6334684555795866
43.5,1.6384892569546374
44.0,1.6434526764861874
44.5,1.6483600109809315
45.0,1.6532125137753437
45.5,1.6580113966571124
46.0,1.662757831681574
46.5,1.667452952889954
47.0,1.6720978579357175
47.5,1.6766936096248666
48.0,1.6812412373755872
48.5,1.6857417386022637
49.0,1.6901960800285136
49.5,1.6946051989335686
50.0,1.6989700043360187
50.5,1.7032913781186614
51.0,1.7075701760979363
51.5,1.711807229041191
52.0,1.7160033436347992
52.5,1.7201593034059568
53.0,1.7242758696007892
53.5,1.7283537820212285
54.0,1.7323937598229686
54.5,1.7363965022766423
55.0,1.7403626894942439
55.5,1.7442929831226763
56.0,1.7481880270062005
56.5,1.7520484478194385
57.0,1.7558748556724915
