X,Raiz Cúbica
1.0,1.0
1.5,1.1447142425533317
2.0,1.2599210498948734
2.5,1.3572088082974532
3.0,1.4422495703074083
3.5,1.5182944859378316
4.0,1.5874010519681996
4.5,1.6509636244473134
5.0,1.7099759466766968
5.5,1.7651741676630317
6.0,1.8171205928321394
6.5,1.866255578408624
7.0,1.9129311827723894
7.5,1.9574338205844317
8.0,2.0
8.5,2.040827550958674
9.0,2.080083823051904
9.5,2.1179117921274466
10.0,2.1544346900318834
10.5,2.1897595699439445
11.0,2.2239800905693157
11.5,2.2571787177370006
12.0,2.2894284851066633
12.5,2.320794416806389
13.0,2.3513346877207577
13.5,2.3811015779522995
14.0,2.4101422641752306
14.5,2.4384994805366564
15.0,2.46621207433047
15.5,2.493315476119323
16.0,2.519842099789747
16.5,2.545821684829745
17.0,2.5712815906582356
17.5,2.596247050925552
18.0,2.620741394208897
18.5,2.644786236347104
19.0,2.6684016487219453
19.5,2.691606306043642
20.0,2.7144176165949063
20.5,2.736851837399214
21.0,2.7589241763811208
21.5,2.780648883260618
22.0,2.8020393306553877
22.5,2.8231080866430855
23.0,2.843866979851566
23.5,2.864327157991219
24.0,2.8844991406148166
24.5,2.904392866781852
25.0,2.924017738212866
25.5,2.943382658441668
26.0,2.9624960684073707
26.5,2.981365978871846
27.0,3.0000000000000004
27.5,3.018405368398843
28.0,3.036588971875663
28.5,3.054557372144803
29.0,3.0723168256858475
29.5,3.0898733029328223
30.0,3.107232505953859
30.5,3.1243998847631222
31.0,3.141380652391393
31.5,3.15817979882819
32.0,3.174802103936399
32.5,3.1912521494299537
33.0,3.207534329995827
33.5,3.223652863633457
34.0,3.2396118012774835
34.5,3.255415035763216
35.0,3.2710663101885897
35.5,3.286569225721215
36.0,3.3019272488946267
36.5,3.3171437184337482
37.0,3.332221851645953
37.5,3.3471647504108475
38.0,3.3619754067989636
38.5,3.37665670834691
39.0,3.3912114430141664
39.5,3.40564230384454
40.0,3.4199518933533937
40.5,3.434142727659996
41.0,3.4482172403827303
41.5,3.4621777863135197
42.0,3.4760266448864496
42.5,3.4897660234544436
43.0,3.5033980603867243
43.5,3.516924827998831
44.0,3.5303483353260634
44.5,3.543670530750377
45.0,3.5568933044900626
45.5,3.5700184909607784
46.0,3.5830478710159466
46.5,3.5959831740739046
47.0,3.608826080138695
47.5,3.62157822172087
48.0,3.634241185664279
48.5,3.6468165148843403
49.0,3.6593057100229713
49.5,3.6717102310249814
50.0,3.6840314986403864
50.5,3.6962708958568578
51.0,3.7084297692661887
51.5,3.720509430368453
52.0,3.732511156817248
52.5,3.7444361936092534
53.0,3.7562857542210724
53.5,3.7680610216961807
54.0,3.77976314968462
54.5,3.791393263437891
55.0,3.8029524607613916
55.5,3.8144418129265585
56.0,3.8258623655447788
56.5,3.837215139404992
57.0,3.8485011312768047
57.5,3.8597213146808205
58.0,3.8708766406277966
58.5,3.8819680383281536
59.0,3.892996415873261
59.5,3.9039626608898548
60.0,3.9148676411688634
60.5,3.925712205269845
61.0,3.9364971831021736
61.5,3.9472233864840574
62.0,3.9578916096804053
62.5,3.968502629920499
63.0,3.979057207896392
63.5,3.9895560882429013
64.0,4.0
64.5,4.010389657058401
65.0,4.020725758589058
65.5,4.03100898945729
66.0,4.041240020622191
66.5,4.0514195095219465
67.0,4.0615481004456795
67.5,4.07162642489236
68.0,4.081655101917348
68.5,4.091634738467075
69.0,4.101565929702347
69.5,4.111449259310745
70.0,4.121285299808557
70.5,4.131074612832675
71.0,4.140817749422854
71.5,4.150515250294703
72.0,4.160167646103808
